Jurisdicción;CUE Anexo;Nombre;Sector;Ámbito;Domicilio;CP;Código de área;Teléfono;Código localidad;Localidad;Departamento;Mail;Ed. Común;Ed. Especial;Ed. Adultos;Ed. Artística;Ed. Hospitalaria Domiciliaria;Ed. Intercultural Bilingüe;Jardín maternal;Inicial;Primaria;Secundaria;Secundaria Técnica (INET);Superior no Universitario;Servicios complementarios
Buenos Aires;60000100;JARDÍN DE INFANTES Nº915 JAVIER VILLAFAÑE;Estatal;Urbano;TIRO FEDERAL 712  ;7300;02281;426487;6049005;AZUL;AZUL;jardin905azul@gmail.com; ji007915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60170201;CENTRO DE ADULTOS Nº722/07;Estatal;Urbano;SALABERRY Y RAWSON S/N  BARRIO MONOBLOCKS SAN FRANCISCO SOLANO;1849;nan;nan;6028004;CLAYPOLE;ALMIRANTE BROWN;odc0040722@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60170202;CENTRO DE ADULTOS Nº723/07;Estatal;Urbano;NARDO 6406  ;1849;nan;nan;6028014;SAN FRANCISCO SOLANO;ALMIRANTE BROWN;odc0040723@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60170300;JARDÍN DE INFANTES Nº921;Estatal;Urbano;CERVANTES 4393  BARRIO SAN GERONIMO;1847;011;4219-0712;6028013;RAFAEL CALZADA;ALMIRANTE BROWN;ji921cataratas@gmail.com; oji0040921@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60170400;JARDÍN DE INFANTES LA ARDILLITA TRAVIESA;Privado;Urbano;LOBATO Y R. BRAVO 881  ;1849;011;4291-1465;6028004;CLAYPOLE;ALMIRANTE BROWN;jardinale@hotmail.com; dji0041803@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60170600;ESCUELA DE EDUCACIÓN PRIMARIA Nº54 ESPAÑA;Estatal;Urbano;PELLEGRINI Y LAPRIDA S/N  ;6553;02314;49-1514;6105031;URDAMPILLETA;BOLIVAR;urdampilleta54@gmail.com; pp012054@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60170800;CENTRO DE ADULTOS Nº702 MIGUEL CANE;Estatal;Urbano;PELLEGRINI Y LAPRIDA   ;6553;02314;42-4942;6105031;URDAMPILLETA;BOLIVAR;odc0120702@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60171100;ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 RODOLFO PIROVANO;Estatal;Rural;CASARES Y AIZAGUER S/N  ;6551;02314;49-2441;6105026;PIROVANO;BOLIVAR;escuelasecundaria_1@yahoo.com.ar;Verdadero;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60171300;ESCUELA DE EDUCACIÓN PRIMARIA Nº2 OSCAR REDIN;Estatal;Urbano;EDISON Y RONDEAU 400  ;6550;02314;42-7332;6105028;SAN CARLOS DE BOLIVAR;BOLIVAR;escuelaprimaria2@gmail.com; pp012002@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60171400;JARDÍN DE INFANTES Nº919 OLGA COSSETTINI;Estatal;Urbano;PARODI Y BUENOS AIRES S/N  RAYO DE SOL;1846;011;4397-1345;6028008;LONGCHAMPS;ALMIRANTE BROWN;jardindeinfantes0919@gmail.com; oji0040919@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60171700;JARDÍN DE INFANTES Nº907;Estatal;Urbano;PTE. PERON 351  ;1846;011;4214-7588;6028015;ADROGUE;ALMIRANTE BROWN;pagus1802@yahoo.com; oji0040907@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60171800;ESCUELA DE EDUCACIÓN PRIMARIA Nº34 JUAN BAUTISTA ALBERDI;Estatal;Urbano;RETIRO ESQ ITUZAINGO S/N  ;1846;011;4214-2225;6028015;ADROGUE;ALMIRANTE BROWN;ep34_004jba@yahoo.com; opp0040034@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60172000;JARDÍN DE INFANTES Nº902 CONSTANCIO C. VIGIL;Estatal;Rural;RAUL LOYDI E/ 11 Y 13 S/N  ;8156;02921;49-2019;6189010;EL PERDIDO;CORONEL DORREGO;jardindelosperdidos@gmail.com; oji0230902@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60172300;JARDÍN DE INFANTES Nº905 ROSARIO VERA PEÑALOZA;Estatal;Rural;CINA CINA ESQ. LOS PINOS S/N  ;8158;02921;49-2023;6189001;APARICIO;CORONEL DORREGO;jardin905aparicio@gmail.com; oji0230905@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60172400;ESCUELA DE EDUCACIÓN PRIMARIA Nº25 JUAN MARTÍN DE PUEYRREDON;Estatal;Rural;CUARTEL V S/N  LOMA CHATA;8150;02932;61-2393;6189006;CORONEL DORREGO;CORONEL DORREGO;lauritabruzzone@hotmail.com; opp0230025@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60172700;ESCUELA DE EDUCACIÓN PRIMARIA Nº13 MARIANO MORENO;Estatal;Rural;CUARTEL IX S/N  ;8151;02932;15-508-3673;6189013;FARO;CORONEL DORREGO;karenhm-24@hotmail.com; opp0230013@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60172900;JARDÍN DE INFANTES Nº903 COMANDANTE ESPORA;Estatal;Rural;CHACABUCO (E/ ALSINA Y S. QUINTAS) 159  ;7509;02921;49-5171;6189024;ORIENTE;CORONEL DORREGO;orientejardin903@hotmail.com; oji0230903@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60173000;CENTRO DE ADULTOS Nº703;Estatal;Rural;SAN MARTIN 248  ;7509;02893;49-5208;6189024;ORIENTE;CORONEL DORREGO;marceltortora21@hotmail.com; odc0230703@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60173100;ESCUELA DE EDUCACIÓN PRIMARIA Nº5 JOSÉ MANUEL ESTRADA;Estatal;Rural; S/N  ;7507;02932;15-61-2387;6189015;IRENE;CORONEL DORREGO;ale_oriente@hotmail.com; opp0230005@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60173200;ESCUELA DE EDUCACIÓN PRIMARIA Nº10 COMANDANTE LUIS PIEDRABUENA;Estatal;Rural;ESTACION CALVO S/N  CALVO;8150;02921;15-61-2388;6189006;CORONEL DORREGO;CORONEL DORREGO;mikarojo@yahoo.com.ar; opp0230010@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60173300;ESCUELA DE EDUCACIÓN PRIMARIA Nº11 ANTARTIDA ARGENTINA;Estatal;Rural; S/N  SAN ROMÁN;8154;02932;15-45-4020;6189006;CORONEL DORREGO;CORONEL DORREGO;escuela11_saroman@hotmail.com; opp0230011@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60173400;ESCUELA DE EDUCACIÓN PRIMARIA Nº30 HOLANDA;Estatal;Urbano;AGUAPEY E/DE LA PE€A Y LOS ITALIANOS 3864  VILLA BARCELO;1824;011;4230-8628;6434012;LANUS;LANUS;epb30lanus@gmail.com; opp1110030@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60173600;ESCUELA DE EDUCACIÓN PRIMARIA Nº88 JUAN VUCETICH;Estatal;Urbano;SAN IGNACIO E/CORTINA Y GUAMINI S/N  BARRIO SARMIENTO;1763;02202;49-6040;6427016;VIRREY DEL PINO;LA MATANZA;silviacristinafernandez@hotmail.com; opp0690088@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60173700;ESCUELA DE EDUCACIÓN PRIMARIA Nº102 BENITO LYNCH;Estatal;Urbano;TORNQUIST 1258  ;1755;011;4625-3739;6427010;RAFAEL CASTILLO;LA MATANZA;opp069102@abc.gov.ar; opp0690102@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60173800;JARDÍN DE INFANTES JUAN MANUEL DE ROSAS;Privado;Urbano;EVITA 290  ;1768;011;4622-2404;6427015;VILLA MADERO;LA MATANZA;inirosas@yahoo.com.ar; dji0693633@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60173900;ESCUELA DE ADULTOS Nº701 BICENTENARIO DE LA PATRIA;Estatal;Urbano;avda SAN MARTIN 102  ;7635;02261;44-2039;6476023;LOBERIA;LOBERIA;ode0600701@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60174000;ESCUELA DE EDUCACIÓN PRIMARIA Nº27 NUESTRA SEÑORA DEL LUJAN;Estatal;Rural; S/N  GARRIDO;7635;02261;15-48-8569;6476023;LOBERIA;LOBERIA;m-pel@live.com.ar; opp0600027@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60174100;CENTRO DE ADULTOS Nº705 HIPOLITO YRIGOYEN;Estatal;Urbano;AV. SAN MARTIN 102  ;7635;nan;nan;6476023;LOBERIA;LOBERIA;silberigar@yahoo.com.ar; odc0600705@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60174200;ESCUELA DE EDUCACIÓN PRIMARIA Nº14 JOSÉ MARIA RIGLOS;Estatal;Rural;RUTA 227 KM 75   EL PAMPERO;7635;02261;15-47-0900;6476023;LOBERIA;LOBERIA;judith_meo@hotmail.com; opp0600014@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60174300;ESCUELA DE EDUCACIÓN PRIMARIA Nº3 JOSÉ MANUEL ESTRADA;Estatal;Urbano;ALBERDI (E/ ARROLO Y BISCIOTI) 700  ;7635;02261;44-0063;6476023;LOBERIA;LOBERIA;primaria3jc@gmail.com; pp060003@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60174400;ESCUELA DE EDUCACIÓN PRIMARIA Nº26 JOHN F. KENNEDY;Estatal;Rural;QUILMELCAN   NAPALEOFU;7007;02261;49-0683;6476003;NAPALEOFU;LOBERIA;escuela26loberia@gmail.com; pp060026@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60174500;ESCUELA DE EDUCACIÓN PRIMARIA Nº1 DOMINGO FAUSTINO SARMIENTO;Estatal;Urbano;AVDA. SAN MARTIN Y ARIST. DEL VALLE 100  ;7635;02261;44-2039;6476023;LOBERIA;LOBERIA;escuela1loberia@yahoo.com; pp060001@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60174600;ESCUELA DE EDUCACIÓN PRIMARIA Nº15 MANUEL BELGRANO;Estatal;Rural;SARMIENTO 394  ;7007;02261;49-8004;6476029;SAN MANUEL;LOBERIA;escuela15sanmanuel@hotmail.com; opp0600015@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60174700;ESCUELA DE EDUCACIÓN SECUNDARIA Nº1;Estatal;Rural;QUITEU 31  ;7007;02261;49-0701;6476033;NAPALEUFU;LOBERIA;media1napaleofu@gmail.com.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60174800;ESCUELA DE EDUCACIÓN PRIMARIA Nº39 ISLAS MALVINAS;Estatal;Rural;CUARTEL IX   LA LOMA;7635;02262;15-46-4628;6476023;LOBERIA;LOBERIA;ep39islasmalvinas@gmail.com; opp0600039@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60174900;JARDÍN DE INFANTES INMACULADA CONCEPCION;Privado;Urbano;EL SALVADOR 47  ;1874;011;4207-7808;6035012;VILLA DOMINICO;AVELLANEDA;jardin_inmaculada@yahoo.com.ar; dji0053280@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60175100;ESCUELA DE EDUCACIÓN PRIMARIA Nº8 CORONEL BOGADO;Estatal;Rural;KM 98-13 S/N  CUARTEL III;2800;03487;15-58-6609;6882012;ZARATE;ZARATE;primaria8zarate@gmail.com; opp0470008@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60175200;JARDÍN DE INFANTES Nº917 BELISARIO ROLDAN;Estatal;Urbano;PASAJE BELISARIO ROLDAN Y ESPAÑA S/N  ;2800;03487;44-9965;6882012;ZARATE;ZARATE;jardin917zarate@gmail.com; oji0470917@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60175300;JARDÍN MUNICIPAL Nº38 ACUARELA;Estatal;Urbano;BARCELO E/ CORDERO Y VILLEGAS 537  ;1874;011;4206-0132;6035012;VILLA DOMINICO;AVELLANEDA;jin38acuarela@hotmail.com; mji0052260@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60175400;ESCUELA DE ADULTOS Nº701 MARIA DE VELAZCO;Estatal;Urbano;HOMERO FERNANDEZ Y GOTUZZO S/N  ;7245;02227;49-1837;6693017;ROQUE PEREZ;ROQUE PEREZ;egbadultos701@yahoo.com.ar; ode0900701@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60175500;ESCUELA ESPECIAL Nº501;Estatal;Urbano;ALSINA Y GÜEMES S/N  BARRIO MARTIN FIERRO;7245;02227;49-1799;6693017;ROQUE PEREZ;ROQUE PEREZ;ecardelino@yahoo.com.ar; eeerperez75@yahoo.com.ar; ee090501@abc.gov.ar;Falso;Verdadero;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60175600;ESCUELA DE EDUCACIÓN PRIMARIA Nº6 HERMINIA BRUMANA;Estatal;Rural;INGENIERO WHITE E/LARROSA Y C.VILLEGAS S/N  ;6244;03388;49-9115;6392001;BANDERALO;GENERAL VILLEGAS;6epbanderalo@gmail.com; opp0490006@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60175700;ESCUELA DE EDUCACIÓN PRIMARIA Nº5 CONRADO E. VILLEGAS;Estatal;Rural;ZONA RURAL S/N  ELORDI;6230;03388;15-52-6607;6392014;GENERAL VILLEGAS;GENERAL VILLEGAS;ep5elordi@gmail.com; opp0490005@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60175800;ESCUELA DE EDUCACIÓN PRIMARIA Nº3 SALOME UREÑA DE HENRIQUEZ;Estatal;Urbano;BELGRANO Y AZCUENAGA S/N  ;6230;03388;42-1686;6392014;GENERAL VILLEGAS;GENERAL VILLEGAS;epnvillegas@gmail.com; pp049003@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60175900;ESCUELA DE EDUCACIÓN PRIMARIA Nº18 GENERAL JOSÉ DE SAN MARTIN;Estatal;Rural;CALLE 13 E/4 Y 6 S/N  ;6607;02272;49-2064;6574014;LAS MARIANAS;NAVARRO;ep18navarro@yahoo.com.ar; opp0740018@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60176000;ESCUELA DE EDUCACIÓN PRIMARIA Nº17 EJERCITO DE LOS ANDES;Estatal;Urbano;15 E/ 70 Y 72 S/N  ;6605;02272;15-51-1127;6574017;NAVARRO;NAVARRO;ep17navarro@gmail.com; opp0740017@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60176100;ESCUELA DE EDUCACIÓN PRIMARIA Nº16 MARTÍN FIERRO;Estatal;Rural;CUARTEL VIII S/N  LOS VASQUITOS;6605;02227;15-51-1126;6574014;LAS MARIANAS;NAVARRO;ep16navarro@gmail.com; opp0740016@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60176200;ESCUELA DE EDUCACIÓN PRIMARIA Nº15 ORFELIA LESCANO;Estatal;Rural;CUARTEL III S/N  EL FAISAN;6605;02227;15-51-1125;6574017;NAVARRO;NAVARRO;ep15navarro@gmail.com; opp0740015@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60176300;ESCUELA DE EDUCACIÓN PRIMARIA Nº13 NICOLAS AVELLANEDA;Estatal;Rural;CUARTEL II S/N  GONZALEZ RISOS;6605;02227;15-51-1123;6574017;NAVARRO;NAVARRO;ep13navarro@yahoo.com; opp0740013@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60176400;ESCUELA DE EDUCACIÓN PRIMARIA Nº12 MARIA SANCHEZ DE THOMPSON;Estatal;Rural;CUARTEL IV S/N  ING. WILLIAMS;6605;02272;15-51-1122;6574017;NAVARRO;NAVARRO;escuela12navarro@yahoo.com.ar; opp0740012@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60176500;CENTRO DE ADULTOS Nº702 MARIANO MORENO;Estatal;Rural;SARMIENTO S/N  ;7220;nan;nan;6547001;ABBOTT;MONTE;odc0720702@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60176600;INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA Nº66 DON JUAN MANUEL DE ROSAS;Estatal;Urbano;AVENIDA SAN MARTIN 687  ;7220;02271;44-3276/7;6547014;SAN MIGUEL DEL MONTE;MONTE;isfdyt66monte@gmail.com; is072066@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60176700;JARDÍN DE INFANTES Nº902 GENERAL MANUEL BELGRANO;Estatal;Rural;RIVADAVIA Y CRAIG S/N  ;7220;02271;49-1052;6547001;ABBOTT;MONTE;jardin902manuelbelgrano@gmail.com; jardin902manuelbelgrano@gmail.com; oji0720902@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60176800;JARDÍN DE INFANTES Nº903;Estatal;Urbano;SANTIAGO DEL ESTERO Y FORMOSA S/N  BARRIO COPOLA;7220;02271;44-3359;6547014;SAN MIGUEL DEL MONTE;MONTE;072monteji903@gmail.com; oji0720903@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60176900;JARDÍN DE INFANTES Nº904 LOS CERRILLOS;Estatal;Rural;ROSA AGROPECUARIA   LOS CERRILLOS;7220;02226;15-60-0551;6547014;SAN MIGUEL DEL MONTE;MONTE;monteji9904@gmail.com; ji904loscerrillos@gmail.com; oji0720904@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60177000;JARDÍN DE INFANTES Nº906 ROSARIO VERA PEÑALOZA;Estatal;Urbano;POCHO COULOMMÉ 455  ;7220;02271;40-6900;6547014;SAN MIGUEL DEL MONTE;MONTE;jardininfantes@gmail.com; oji0720906@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60177100;JARDÍN DE INFANTES Nº907 SERGIO OSCAR GOMEZ;Estatal;Rural;MONTENUEVO S/N  FRANCISCO BERRA;7220;02226;633049;6547014;SAN MIGUEL DEL MONTE;MONTE;monteji907@gmail.com; oji0720907@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60177200;ESCUELA DE EDUCACIÓN PRIMARIA Nº2 HIPOLITO YRIGOYEN;Estatal;Rural;ESTANCIA SANTA ROSA S/N  LOS CERRILLOS;7220;02226;15-60-0550;6547014;SAN MIGUEL DEL MONTE;MONTE;ep02monte@yahoo.com.ar; opp0720002@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60177300;JARDÍN DE INFANTES Nº904 BERNARDO OBLIGADO;Estatal;Rural;MARTINEZ DE HOZ Y QUESADA   ;2916;0407;49-1145;6665005;EL PARAISO;RAMALLO;jardindeinf904@gmail.com; oji0860904@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60177400;JARDÍN DE INFANTES Nº903 RAFAEL OBLIGADO;Estatal;Urbano;BROWN (ESQ 25 DE MAYO) 561  ;2914;03407;48-0135;6665016;VILLA RAMALLO;RAMALLO;jdi903ramallo@gmail.com; ji086903@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60177500;JARDÍN DE INFANTES Nº902 MARIQUITA SANCHEZ DE THOMPSON;Estatal;Urbano;MITRE (E/SARMIENTO Y MORENO) 742  ;2915;03407;42-1497;6665014;RAMALLO;RAMALLO;jdi902ramallo@gmail.com; ji086902@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60177600;JARDÍN DE INFANTES PANDI;Privado;Urbano;AVENIDA SAVIO 169  ;2900;0336;42-1356;6763008;SAN NICOLAS DE LOS ARROYOS;SAN NICOLAS;pandi2727@hotmail.com; dji0972727@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60177700;INSTITUTO AIRE LIBRE;Privado;Urbano;F. AMEGHINO 560  ;2900;03461;43-3530;6763008;SAN NICOLAS DE LOS ARROYOS;SAN NICOLAS;airelibrepri@yahoo.com.ar; dpp0973002@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60177900;COLEGIO DE LA CUIDAD;Privado;Urbano;AVENIDA SAVIO 169  ;2900;03461;42-1356;6763008;SAN NICOLAS DE LOS ARROYOS;SAN NICOLAS;ep_ciudad@hotmail.com; dpp0973435@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60178000;JARDÍN DE INFANTES BELEN;Privado;Urbano;LEON GURUCIAGA 35  ;2900;0336;471-1601;6763008;SAN NICOLAS DE LOS ARROYOS;SAN NICOLAS;jardinbelen@hotmail.com; dji0971972@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60178100;ESCUELA DE EDUCACIÓN PRIMARIA Nº9 MANUEL NICOLAS SAVIO;Estatal;Rural;RUTA 1001 S/N  EL OMBU;2916;02477;15-68-5948;6665005;EL PARAISO;RAMALLO;r086epn9@gmail.com; opp0860009@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60178200;ESCUELA DE EDUCACIÓN PRIMARIA Nº10 JUAN B. AZOPARDO;Estatal;Rural;SECCION QUINTA CUARTEL IV   EL TONELERO;2915;02477;15-68-6066;6665014;RAMALLO;RAMALLO;ro86epn10@gmail.com; opp0860010@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60178300;ESCUELA DE EDUCACIÓN PRIMARIA Nº7 REPUBLICA DE COLOMBIA;Estatal;Urbano;RUTA PROV 51 CUARTEL II S/N  LAS QUINTAS;2915;03364;15315496;6665014;RAMALLO;RAMALLO;r086epn07@gmail.com; pp086007@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60178600;JARDÍN DE INFANTES INMACULADA CONCEPCION;Privado;Urbano;AMENEDO E/ COLON Y ALSINA 641  ;1852;011;4299-0217;6028003;BURZACO;ALMIRANTE BROWN;administracic@speedy.com.ar; dji0041756@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
